procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CET
 7  0  16592 5991904 1660056 16485916    0    0     0    35 2940 4184 32  0 68  0  0 2018-03-21 09:05:39
 7  0  16592 5991184 1660056 16485936    0    0     0     0 3091 7548 34  0 65  0  0 2018-03-21 09:05:40
 7  0  16592 5982564 1660056 16485960    0    0     0    34 2992 3798 33  0 67  0  0 2018-03-21 09:05:41
 7  0  16592 5981608 1660056 16485996    0    0     0     0 3020 7203 32  0 67  0  0 2018-03-21 09:05:42
 7  0  16592 5983296 1660064 16486016    0    0     0    17 3038 3839 31  0 69  0  0 2018-03-21 09:05:43
 7  0  16592 5979136 1660080 16486056    0    0     0    40 3213 6267 32  0 67  0  0 2018-03-21 09:05:44
 7  0  16592 5975052 1660080 16486024    0    0     0     0 3058 3173 32  0 68  0  0 2018-03-21 09:05:45
 9  0  16592 5973344 1660080 16486040    0    0     0    54 3111 4677 34  0 66  0  0 2018-03-21 09:05:46
 7  0  16592 5971856 1660080 16486092    0    0     0  3372 3807 3392 31  0 67  2  0 2018-03-21 09:05:47
 8  0  16592 5971924 1660080 16486108    0    0     0   102 3022 5289 32  0 68  0  0 2018-03-21 09:05:48
 7  0  16592 5973496 1660092 16486112    0    0     0    68 3011 3233 31  0 69  0  0 2018-03-21 09:05:49
 7  0  16592 5976808 1660108 16486144    0    0     0     6 2844 2770 30  0 70  0  0 2018-03-21 09:05:50
25  0  16592 5976648 1660112 16486168    0    0     0     0 2891 2440 30  0 70  0  0 2018-03-21 09:05:51
 7  0  16592 5973568 1660112 16486180    0    0     0     0 2953 3498 31  0 68  0  0 2018-03-21 09:05:52
 7  0  16592 5973828 1660112 16486200    0    0     0    63 2938 2388 30  0 70  0  0 2018-03-21 09:05:53
 7  0  16592 5973672 1660120 16486212    0    0     0   117 2891 2403 30  0 70  0  0 2018-03-21 09:05:54
 7  0  16592 5969464 1660120 16486244    0    0     0    97 3046 4235 32  0 67  0  0 2018-03-21 09:05:55
 7  0  16592 5969316 1660120 16486252    0    0     0   168 3026 2554 30  0 69  0  0 2018-03-21 09:05:56
 7  0  16592 5969428 1660120 16486252    0    0     0    59 3035 4025 32  0 68  0  0 2018-03-21 09:05:57
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CET
 7  0  16592 5970476 1660120 16486264    0    0     0     0 2901 2257 31  0 69  0  0 2018-03-21 09:05:58
 7  0  16592 5959300 1660120 16486288    0    0     0   110 3080 2988 33  0 66  0  0 2018-03-21 09:05:59
 7  0  16592 5954464 1660124 16486296    0    0     0    72 3060 2637 32  0 67  0  0 2018-03-21 09:06:00
 7  0  16592 5948192 1660124 16486308    0    0     0     1 3025 3534 33  0 67  0  0 2018-03-21 09:06:01
 7  0  16592 5947820 1660124 16486284    0    0     0   379 2942 2050 31  0 69  0  0 2018-03-21 09:06:02
 7  0  16592 5948316 1660124 16486320    0    0     0    17 3157 3695 34  0 66  0  0 2018-03-21 09:06:03
 7  0  16592 5949824 1660132 16486332    0    0     0    11 2871 2110 30  0 70  0  0 2018-03-21 09:06:04
 7  0  16592 5949544 1660152 16486304    0    0     0    49 2980 3668 30  0 70  0  0 2018-03-21 09:06:05
 7  0  16592 5946236 1660156 16486356    0    0     0    70 2792 2295 31  0 69  0  0 2018-03-21 09:06:06
 7  0  16592 5945532 1660156 16486348    0    0     0    72 3160 3615 33  0 67  0  0 2018-03-21 09:06:07
 7  0  16592 5961168 1660156 16486388    0    0     0    30 2912 3113 31  0 69  0  0 2018-03-21 09:06:08
 7  0  16592 5959932 1660156 16486416    0    0     0     0 2889 3876 31  0 69  0  0 2018-03-21 09:06:09
 7  0  16592 5959840 1660160 16486468    0    0     0   172 2834 2615 30  0 70  0  0 2018-03-21 09:06:10
 8  0  16592 5961904 1660160 16486496    0    0     0   209 2930 2524 30  0 70  0  0 2018-03-21 09:06:11
 7  0  16592 5961780 1660160 16486520    0    0     0    31 2946 3472 31  0 69  0  0 2018-03-21 09:06:12
 7  0  16592 5963840 1660160 16486536    0    0     0    21 2918 2378 30  0 70  0  0 2018-03-21 09:06:13
 7  0  16592 5966236 1660160 16486548    0    0     0     1 2858 3601 31  0 69  0  0 2018-03-21 09:06:14
 7  0  16592 5973720 1660160 16486568    0    0     0    35 2912 2413 30  0 69  0  0 2018-03-21 09:06:15
 7  0  16592 5974432 1660160 16486576    0    0     0    58 2922 3108 31  0 68  0  0 2018-03-21 09:06:16
 7  0  16592 5978532 1660160 16486584    0    0     0     0 2797 2184 30  0 70  0  0 2018-03-21 09:06:17
 7  0  16592 5986540 1660160 16486596    0    0     0     0 2933 4141 31  0 68  0  0 2018-03-21 09:06:18
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CET
 7  0  16592 5994808 1660160 16486608    0    0     0    21 2975 2208 30  0 69  0  0 2018-03-21 09:06:19
 7  0  16592 5997020 1660160 16486632    0    0     0     1 2928 3210 30  0 69  0  0 2018-03-21 09:06:20
 7  0  16592 6007612 1660160 16486636    0    0     0    77 3031 3297 31  0 68  0  0 2018-03-21 09:06:21
 7  0  16592 6011700 1660164 16486656    0    0     0    15 2790 3178 30  0 70  0  0 2018-03-21 09:06:22
 7  0  16592 6007592 1660164 16486664    0    0     0    25 3035 3101 31  0 69  0  0 2018-03-21 09:06:23
 7  0  16592 6018144 1660164 16486680    0    0     0     1 2895 4201 31  0 69  0  0 2018-03-21 09:06:24
 7  0  16592 6018760 1660172 16486704    0    0     0     0 3490 2583 30  0 70  0  0 2018-03-21 09:06:25
 7  0  16592 6025532 1660192 16486712    0    0     0   113 3148 5083 32  0 68  0  0 2018-03-21 09:06:26
 7  0  16592 6017824 1660196 16486764    0    0     0   168 3199 3749 32  0 68  0  0 2018-03-21 09:06:27
 7  0  16592 6023876 1660196 16486772    0    0     0     0 3090 4818 34  0 66  0  0 2018-03-21 09:06:28
 7  0  16592 6031436 1660196 16486776    0    0     0     4 3056 3315 32  0 68  0  0 2018-03-21 09:06:29
 7  0  16592 6035396 1660196 16486784    0    0     0     2 2900 2937 30  0 69  0  0 2018-03-21 09:06:30
 7  0  16592 6042120 1660200 16486812    0    0     0   131 2929 3855 31  0 69  0  0 2018-03-21 09:06:31
 7  0  16592 6041884 1660200 16486824    0    0     0    22 2918 3601 30  0 70  0  0 2018-03-21 09:06:32
 7  0  16592 6049356 1660200 16486796    0    0     0   144 3102 4363 32  0 68  0  0 2018-03-21 09:06:33
 7  0  16592 6058568 1660200 16486820    0    0     0     1 2967 3367 31  0 69  0  0 2018-03-21 09:06:34
 7  0  16592 6066180 1660200 16486860    0    0     0    38 2881 3574 30  0 70  0  0 2018-03-21 09:06:35
 6  1  16592 6074320 1660200 16486888    0    0     0    10 2863 2513 31  0 69  0  0 2018-03-21 09:06:36
 7  0  16592 6085656 1660204 16486868    0    0     0    33 3088 3883 32  0 68  0  0 2018-03-21 09:06:37
